Cluster,tract,LON,LAT,estabs,scaled_emp,nice_emp_bin
Local Commercial Services,8123000703,-104.65738422810674,40.40382999417281,5,0.014366041896361632,50 to 100
Local Commercial Services,8123002019,-104.95833793227834,40.159618666775785,6,0.014366041896361632,50 to 100
Local Commercial Services,8123002017,-104.9908800680751,40.12198379420418,4,0.013274531422271224,50 to 100
Local Commercial Services,8123002102,-104.91896122110111,40.3313148311882,5,0.013274531422271224,50 to 100
Local Commercial Services,8123002008,-105.0222662330826,39.99206679852164,3,0.013274531422271224,50 to 100
Local Commercial Services,8123002012,-104.98129386582286,40.09581839871893,4,0.013274531422271224,50 to 100
Local Commercial Services,8013060800,-105.07027552710096,39.98639604119948,4,0.013274531422271224,50 to 100
Local Commercial Services,8123000704,-104.67399408115824,40.38533331105317,5,0.013274531422271224,50 to 100
Local Commercial Services,8123002016,-104.9162487586363,40.12618131299237,5,0.013274531422271224,50 to 100
Local Commercial Services,8001008523,-104.7741857431587,39.9715698944091,5,0.013274531422271224,50 to 100
Local Commercial Services,8123002013,-104.95251138753555,40.11431558202856,4,0.012183020948180816,50 to 100
Local Commercial Services,8069001709,-104.94299637340723,40.43565452320536,5,0.012183020948180816,50 to 100
Local Commercial Services,8123001415,-104.76267022889027,40.43303085398816,4,0.011091510474090408,20 to 50
Local Commercial Services,8123001800,-104.84678584471658,40.20430281308542,4,0.011091510474090408,20 to 50
Local Commercial Services,8123002007,-105.04512522022223,40.03855269220265,4,0.011091510474090408,20 to 50
Local Commercial Services,8123002502,-104.61060087921818,40.08078710651384,3,0.011091510474090408,20 to 50
Local Commercial Services,8123000701,-104.68306952480638,40.437237989423316,3,0.01,20 to 50
Local Commercial Services,8123001407,-104.7951996231668,40.40084545289892,3,0.01,20 to 50
Local Commercial Services,8123002005,-104.95838195625124,40.04100780060945,3,0.01,20 to 50
Local Community and Civic Organizations,8123001700,-104.71430941618921,40.045522414798945,86,0.5110033076074972,"1,000 to 5,000"
Local Community and Civic Organizations,8123001500,-104.72771992802481,40.476338142768604,25,0.05802646085997795,250 to 500
Local Community and Civic Organizations,8123000705,-104.6332615418588,40.39875021732368,13,0.04056229327453142,250 to 500
Local Community and Civic Organizations,8123001004,-104.69114140509726,40.38932997366085,11,0.039470782800441015,250 to 500
Local Community and Civic Organizations,8123001404,-104.78634796104092,40.35979611582825,9,0.03510474090407938,250 to 500
Local Community and Civic Organizations,8123002101,-104.84321111008823,40.371418694003424,12,0.028555678059536932,100 to 250
Local Community and Civic Organizations,8123002103,-104.97797247115754,40.274315718732076,10,0.02746416758544653,100 to 250
Local Community and Civic Organizations,8123002209,-104.85520966263773,40.44191070332856,9,0.02528114663726571,100 to 250
Local Community and Civic Organizations,8123002208,-104.82886137860166,40.50845103671882,9,0.024189636163175304,100 to 250
Local Community and Civic Organizations,8123002300,-104.65349057745448,40.61412912853277,10,0.022006615214994488,100 to 250
Local Community and Civic Organizations,8123001300,-104.72698331303168,40.43049213824326,13,0.022006615214994488,100 to 250
Local Community and Civic Organizations,8123002203,-104.88623012665549,40.48122371744958,8,0.019823594266813672,100 to 250
Local Community and Civic Organizations,8123000502,-104.69370965264189,40.414302855381145,5,0.019823594266813672,100 to 250
Local Community and Civic Organizations,8123001006,-104.70051176698378,40.38111729130799,4,0.016549062844542446,50 to 100
Local Community and Civic Organizations,8123001409,-104.73827372049797,40.397791379305225,5,0.016549062844542446,50 to 100
Local Community and Civic Organizations,8123001416,-104.78791403654473,40.44034762991773,6,0.016549062844542446,50 to 100
Local Community and Civic Organizations,8123001406,-104.76943243538643,40.38473469443882,7,0.01545755237045204,50 to 100
Local Community and Civic Organizations,8123001407,-104.7852341654502,40.40638326585339,6,0.01545755237045204,50 to 100
Local Community and Civic Organizations,8069001709,-104.9721375345481,40.42958383041225,4,0.014366041896361632,50 to 100
Local Community and Civic Organizations,8123000600,-104.69403548021128,40.44523246260555,7,0.014366041896361632,50 to 100
Local Community and Civic Organizations,8123002207,-104.94416933412364,40.510555354320836,5,0.012183020948180816,50 to 100
Local Community and Civic Organizations,8123001100,-104.72819466143297,40.400743764217545,5,0.012183020948180816,50 to 100
Local Community and Civic Organizations,8123001005,-104.72540649843235,40.38117609399472,4,0.011091510474090408,20 to 50
Local Community and Civic Organizations,8123001600,-104.53536054152663,40.41065706464237,4,0.011091510474090408,20 to 50
Local Community and Civic Organizations,8123002205,-104.91976816845083,40.46765228610085,4,0.011091510474090408,20 to 50
Local Education and Training,8123000705,-104.64347125471696,40.472374786182016,14,0.08422271223814773,"500 to 1,000"
Local Education and Training,8123002004,-104.99141484610281,40.08842771007499,6,0.019823594266813672,100 to 250
Local Education and Training,8123001406,-104.73604796822259,40.37597669255477,6,0.018732083792723266,100 to 250
Local Education and Training,8123001404,-104.79720622128467,40.35599995608969,4,0.014366041896361632,50 to 100
Local Education and Training,8123002209,-104.91026885965022,40.48097044453075,5,0.013274531422271224,50 to 100
Local Education and Training,8123001412,-104.79173735598204,40.4160539773084,3,0.012183020948180816,50 to 100
Local Education and Training,8001008523,-104.58668626898044,40.08085167758084,3,0.011091510474090408,20 to 50
Local Education and Training,8123002103,-104.98940473863,40.245698845121126,3,0.01,20 to 50
Local Entertainment and Media,8123001500,-104.75051862258817,40.57832103509728,11,0.03510474090407938,250 to 500
Local Entertainment and Media,8123001416,-104.76707602857681,40.39940063438909,6,0.024189636163175304,100 to 250
Local Entertainment and Media,8069002501,-104.9320532721987,40.47835797717845,7,0.016549062844542446,50 to 100
Local Entertainment and Media,8123000705,-104.60784139310992,40.40568887553703,8,0.01545755237045204,50 to 100
Local Entertainment and Media,8123002103,-104.97933423929014,40.17048931997222,8,0.01545755237045204,50 to 100
